,Fecha,Importacion Francia,Exportacion Francia,Importacion Portugal,Exportacion Portugal,Importacion Marruecos,Exportacion Marruecos,Importacion Andorra,Exportacion Andorra,Saldo Francia,Saldo Portugal,Saldo Marruecos,Saldo Andorra
108,2021-01-01,1156.84,-674.97,531.56,-815.58,73.12,-17.65,0.0,-38.42,1831.81,1814786.1795999997,90.77000000000001,38.42
109,2021-02-01,207.62,-1192.25,1116.69,-257.55,25.97,-34.67,0.0,-28.39,1399.87,1888535.5776,60.64,28.39
110,2021-03-01,888.62,-721.06,587.91,-579.38,60.56,-23.91,0.0,-22.89,1609.6799999999998,1362565.9441,84.47,22.89
111,2021-04-01,944.49,-530.48,491.79,-674.74,63.42,-25.8,0.0,-12.11,1474.97,1360792.2408999999,89.22,12.11
112,2021-05-01,1357.76,-316.2,217.39,-1048.17,81.75,-23.48,0.0,-0.0,1673.96,1601642.1135999998,105.23,0.0
113,2021-06-01,1431.25,-111.02,329.29,-653.82,57.12,-34.08,0.0,-5.13,1542.27,966505.2721000003,91.19999999999999,5.13
114,2021-07-01,1413.91,-147.44,223.33,-781.15,52.96,-91.59,0.0,-3.55,1561.3500000000001,1008980.0704000001,144.55,3.55
115,2021-08-01,1765.28,-14.67,125.44,-1150.74,33.17,-78.43,0.0,-19.02,1779.95,1628635.3924000002,111.60000000000001,19.02
116,2021-09-01,1272.57,-78.4,187.78,-880.46,27.0,-72.19,0.0,-11.13,1350.97,1141136.6976,99.19,11.13
117,2021-10-01,909.27,-139.74,201.87,-1082.41,71.67,-12.66,0.0,-15.2,1049.01,1649375.1184000005,84.33,15.2
118,2021-11-01,281.96,-1093.75,335.84,-804.36,51.17,-53.17,0.0,-28.63,1375.71,1300056.04,104.34,28.63
119,2021-12-01,301.69,-1260.8,442.88,-815.13,90.28,-41.77,0.0,-40.65,1562.49,1582589.1601,132.05,40.65
120,2022-01-01,519.85,-946.99,254.06,-1025.54,102.02,-44.9,0.0,-38.48,1466.8400000000001,1637376.1599999997,146.92,38.48
121,2022-02-01,1212.91,-228.85,61.86,-1434.86,40.06,-84.23,0.0,-34.8,1441.76,2240170.7583999992,124.29,34.8
122,2022-03-01,597.97,-867.8,298.92,-900.28,61.94,-39.91,0.0,-31.13,1465.77,1438080.6400000001,101.85,31.13
123,2022-04-01,274.87,-1057.78,243.44,-1008.27,47.84,-70.42,0.0,-16.54,1332.65,1566777.9241000002,118.26,16.54
124,2022-05-01,3.81,-50.64,5.05,-40.59,2.2,-1.22,0.0,-0.21,54.45,2083.0096,3.42,0.21
125,2022-05-01,460.9,-793.03,190.72,-1046.72,60.24,-99.21,0.0,-5.15,1253.9299999999998,1531257.7536000002,159.45,5.15
126,2022-06-01,356.12,-619.06,105.24,-1079.41,15.16,-220.24,0.0,-16.54,975.18,1403395.6225000003,235.4,16.54
127,2022-07-01,143.17,-1106.96,70.12,-1353.9,20.54,-173.41,0.0,-22.26,1250.13,2027832.9604,193.95,22.26
128,2022-08-01,32.22,-1484.15,87.93,-1122.14,6.22,-297.82,0.0,-20.35,1516.3700000000001,1464269.4049000004,304.04,20.35
129,2022-09-01,10.93,-1763.23,159.14,-1020.32,9.11,-252.51,0.0,-19.78,1774.16,1391125.8916,261.62,19.78
130,2022-10-01,359.52,-1236.97,227.98,-1148.48,6.27,-253.45,0.0,-20.36,1596.49,1894642.1316000002,259.71999999999997,20.36
131,2022-11-01,257.41,-1442.4,416.54,-731.11,20.4,-134.56,0.0,-20.18,1699.8100000000002,1317100.5225000002,154.96,20.18
132,2022-12-01,319.33,-1781.76,938.64,-403.6,30.89,-180.86,0.0,-39.88,2101.09,1801608.2176,211.75,39.88
133,2023-01-01,315.2,-1252.1,812.21,-623.88,19.64,-151.33,0.0,-42.45,1567.3,2062354.4881000004,170.97000000000003,42.45
134,2023-02-01,344.67,-937.17,570.79,-692.82,26.98,-214.09,0.0,-21.21,1281.84,1596710.2321000004,241.07,21.21
135,2023-03-01,206.57,-1369.9,136.38,-1423.08,26.56,-160.26,0.0,-23.11,1576.47,2431915.4916000003,186.82,23.11
136,2023-04-01,240.68,-1077.19,56.4,-1460.83,49.98,-155.46,0.0,-14.63,1317.8700000000001,2301986.8729,205.44,14.63
137,2023-05-01,581.44,-730.86,65.52,-1464.37,49.29,-165.0,0.0,-10.91,1312.3000000000002,2340563.4121,214.29,10.91
138,2023-06-01,611.58,-541.18,130.46,-1227.19,60.11,-102.81,0.0,-2.08,1152.76,1843213.5225000002,162.92000000000002,2.08
139,2023-07-01,1091.36,-214.3,58.47,-1253.18,27.09,-201.81,0.0,-19.23,1305.6599999999999,1720425.7225000001,228.9,19.23
